,logM,z,gmag,rmag,gMag,rMag,n,e,B_T_r,g-r
25496,10.427,0.06328,17.77,16.92,-19.75,-20.49,4.4,0.36,0.79,0.74
25497,10.717,0.0412,16.07,15.29,-20.42,-21.12,5.72,0.37,0.45,0.7
25498,9.524,0.04118,17.41,16.92,-19.03,-19.48,1.39,0.63,0.2,0.45
25499,9.679,0.06158,16.85,16.61,-20.49,-20.72,0.71,0.55,0.94,0.23
25500,9.801,0.04183,16.64,16.18,-19.84,-20.27,4.91,0.19,0.85,0.43
25501,10.406,0.05459,17.3,16.53,-19.86,-20.52,5.54,0.56,0.76,0.66
25502,10.198,0.04149,16.83,16.2,-19.64,-20.21,1.59,0.37,0.36,0.57
25503,10.317,0.05116,17.37,16.52,-19.63,-20.38,2.71,0.47,0.75,0.75
25504,10.676,0.0844,17.86,16.92,-20.39,-21.15,4.17,0.62,0.85,0.76
25505,10.911,0.08875,17.5,16.57,-20.88,-21.64,5.44,0.24,0.98,0.76
25506,10.103,0.05538,16.95,16.5,-20.17,-20.58,2.15,0.36,0.3,0.41
25507,10.325,0.04864,17.37,16.52,-19.54,-20.3,6.45,0.08,0.76,0.76
25508,10.364,0.05571,17.6,16.75,-19.62,-20.36,3.57,0.06,0.64,0.74
25509,11.333,0.05588,15.13,14.24,-22.11,-22.87,4.5,0.0,0.52,0.76
25510,10.568,0.08556,17.48,16.75,-20.73,-21.35,0.62,0.59,0.0,0.62
25511,10.956,0.05378,16.02,15.15,-21.1,-21.86,3.12,0.7,0.47,0.76
25512,10.743,0.08506,17.46,16.65,-20.76,-21.42,1.33,0.47,0.06,0.66
25513,10.57,0.04338,16.5,15.68,-20.11,-20.85,5.65,0.21,0.55,0.74
25514,11.325,0.05663,15.38,14.53,-21.86,-22.61,6.01,0.57,0.52,0.75
25515,11.328,0.12924,17.43,16.43,-21.94,-22.68,6.76,0.13,0.84,0.74
25516,9.812,0.06112,17.24,16.84,-20.08,-20.43,0.61,0.26,0.96,0.35
25517,10.959,0.08939,17.16,16.24,-21.21,-21.95,4.07,0.51,0.62,0.74
25518,10.536,0.08296,17.52,16.83,-20.59,-21.2,0.5,0.59,0.87,0.61
25519,10.567,0.07549,17.59,16.81,-20.34,-21.0,8.0,0.25,0.68,0.66
25520,11.71,0.19741,18.0,16.71,-22.77,-23.52,5.27,0.29,0.61,0.75
25521,10.814,0.05156,16.25,15.39,-20.78,-21.53,4.59,0.27,0.51,0.75
25522,11.217,0.1302,17.49,16.55,-21.84,-22.55,8.0,0.1,0.65,0.71
25523,11.366,0.15172,17.81,16.68,-22.05,-22.83,7.4,0.25,1.0,0.78
25524,10.544,0.0287,15.63,14.76,-19.99,-20.8,3.18,0.66,1.0,0.81
25525,11.118,0.12991,17.94,16.91,-21.46,-22.2,4.21,0.0,0.86,0.74
25526,11.12,0.07516,16.25,15.36,-21.68,-22.42,4.55,0.2,1.0,0.74
25527,8.475,0.00855,15.63,15.35,-17.27,-17.51,1.02,0.33,1.0,0.24
25528,11.071,0.14295,17.69,16.93,-21.82,-22.39,2.22,0.49,0.35,0.57
25529,11.298,0.15491,17.84,16.91,-21.96,-22.61,5.76,0.44,0.41,0.65
25530,10.729,0.07546,17.2,16.43,-20.7,-21.35,2.17,0.46,0.33,0.65
25531,10.407,0.07314,17.34,16.76,-20.42,-20.94,0.96,0.33,0.03,0.52
25532,11.153,0.07075,16.34,15.44,-21.42,-22.18,3.72,0.4,0.53,0.76
25533,10.416,0.0699,17.73,16.98,-19.95,-20.61,1.74,0.02,0.84,0.66
25534,9.7,0.03278,17.06,16.52,-18.82,-19.31,1.92,0.55,0.64,0.49
25535,10.889,0.07664,16.4,15.8,-21.48,-22.0,3.75,0.13,0.52,0.52
25536,11.116,0.06796,16.27,15.32,-21.41,-22.23,6.39,0.27,0.99,0.82
25537,10.478,0.06928,17.16,16.53,-20.48,-21.04,1.34,0.34,0.06,0.56
25538,10.383,0.06773,17.65,16.9,-19.98,-20.62,1.68,0.16,0.14,0.64
25539,10.35,0.06469,17.8,16.97,-19.73,-20.45,2.34,0.53,0.43,0.72
25540,10.3,0.06324,17.64,16.91,-19.8,-20.44,1.09,0.47,0.03,0.64
25541,11.426,0.06814,15.62,14.7,-22.07,-22.86,4.1,0.07,0.63,0.79
25542,10.412,0.06204,17.54,16.79,-19.86,-20.52,2.72,0.32,0.55,0.66
25543,10.693,0.06897,17.09,16.32,-20.57,-21.25,2.54,0.6,0.34,0.68
25544,10.812,0.0669,16.9,15.98,-20.73,-21.52,4.66,0.61,0.74,0.79
25545,10.73,0.05924,16.42,15.72,-20.85,-21.48,2.77,0.59,0.32,0.63
25546,10.739,0.09342,17.27,16.43,-21.18,-21.86,2.56,0.84,0.43,0.68
25547,10.773,0.09381,17.88,16.94,-20.62,-21.36,3.03,0.49,0.7,0.74
25548,11.413,0.14273,17.93,16.83,-21.77,-22.53,6.57,0.16,0.47,0.76
25549,10.783,0.07117,17.11,16.26,-20.66,-21.39,6.38,0.28,0.62,0.73
25550,11.141,0.10827,17.3,16.3,-21.57,-22.36,4.76,0.26,0.98,0.79
25551,10.441,0.10297,17.54,16.99,-21.04,-21.5,0.5,0.59,0.91,0.46
25552,10.573,0.07463,17.74,16.86,-20.14,-20.9,3.43,0.54,0.81,0.76
25553,8.862,0.01206,16.32,15.87,-17.33,-17.74,0.85,0.61,0.01,0.41
25554,11.193,0.12743,17.34,16.42,-21.97,-22.63,2.79,0.26,0.42,0.66
25555,11.097,0.11484,17.38,16.46,-21.63,-22.33,5.39,0.12,0.87,0.7
25556,10.852,0.0746,17.12,16.37,-20.73,-21.36,5.03,0.59,0.51,0.63
25557,10.326,0.04167,16.35,15.63,-20.11,-20.76,3.05,0.79,0.45,0.65
25558,10.994,0.1088,17.55,16.61,-21.33,-22.05,5.97,0.14,0.78,0.72
25559,11.104,0.10855,17.78,16.78,-21.09,-21.87,5.47,0.06,0.34,0.78
25560,10.894,0.13052,17.51,16.86,-21.7,-22.19,0.76,0.15,0.98,0.49
25561,10.036,0.04844,17.3,16.75,-19.48,-20.01,1.29,0.74,0.25,0.53
25562,10.379,0.04297,16.27,15.64,-20.23,-20.81,0.85,0.23,0.03,0.58
25563,10.68,0.08397,17.37,16.64,-20.75,-21.39,2.7,0.23,0.89,0.64
25564,10.195,0.05132,16.28,15.79,-20.61,-21.06,0.82,0.45,0.78,0.45
25565,11.13,0.12242,17.39,16.46,-21.79,-22.49,5.0,0.37,0.92,0.7
25566,10.659,0.06356,16.68,16.0,-20.74,-21.35,1.99,0.04,0.39,0.61
25567,11.044,0.08318,16.62,15.74,-21.53,-22.26,6.13,0.35,1.0,0.73
25568,11.293,0.14368,17.76,16.73,-21.89,-22.62,5.79,0.07,0.67,0.73
25569,9.684,0.0325,16.04,15.64,-19.81,-20.14,1.29,0.24,0.95,0.33
25570,10.728,0.08135,17.5,16.69,-20.57,-21.24,3.68,0.19,0.37,0.67
25571,10.808,0.08179,17.04,16.31,-21.0,-21.62,1.76,0.77,0.18,0.62
25572,10.812,0.11001,17.14,16.54,-21.59,-22.08,1.25,0.1,0.14,0.49
25573,10.491,0.04272,16.5,15.69,-20.03,-20.76,5.53,0.41,0.85,0.73
25574,10.546,0.06608,17.66,16.77,-19.94,-20.7,4.81,0.4,0.9,0.76
25575,11.203,0.06603,16.0,15.12,-21.6,-22.35,3.9,0.27,0.64,0.75
25576,10.239,0.03617,16.64,15.99,-19.48,-20.08,2.01,0.33,0.56,0.6
25577,10.91,0.06586,16.46,15.83,-21.06,-21.63,3.33,0.49,0.44,0.57
25578,10.442,0.088,17.47,16.93,-20.73,-21.2,2.58,0.12,0.43,0.47
25579,10.28,0.06214,17.5,16.82,-19.88,-20.48,1.08,0.16,0.12,0.6
25580,10.824,0.06229,16.86,16.0,-20.59,-21.32,4.88,0.13,0.4,0.73
25581,10.774,0.06391,17.42,16.45,-20.09,-20.95,2.38,0.63,0.44,0.86
25582,10.423,0.03674,16.34,15.53,-19.84,-20.58,4.08,0.7,0.67,0.74
25583,10.675,0.06318,16.76,15.96,-20.73,-21.41,7.07,0.28,0.79,0.68
25584,10.728,0.0833,17.35,16.59,-20.79,-21.43,1.39,0.51,0.22,0.64
25585,9.716,0.03722,16.43,16.03,-19.76,-20.13,1.51,0.18,0.24,0.37
25586,10.529,0.06268,17.32,16.54,-20.17,-20.83,5.34,0.21,0.79,0.66
25587,10.512,0.0626,17.46,16.57,-20.05,-20.8,5.13,0.76,1.0,0.75
25588,10.522,0.08243,17.18,16.65,-20.86,-21.32,2.71,0.13,0.4,0.46
25589,9.729,0.04748,17.08,16.53,-19.65,-20.17,7.96,0.2,0.55,0.52
25590,10.52,0.06225,17.69,16.84,-19.78,-20.52,1.08,0.66,0.8,0.74
25591,11.7,0.16581,17.66,16.48,-22.54,-23.29,6.16,0.13,0.57,0.75
25592,10.728,0.03334,15.29,14.57,-20.68,-21.34,1.78,0.42,0.22,0.66
25593,11.316,0.13123,17.53,16.48,-21.92,-22.67,5.97,0.18,0.88,0.75
25594,10.454,0.03347,15.8,15.05,-20.2,-20.88,6.94,0.25,0.87,0.68
25595,10.406,0.03331,15.33,14.74,-20.65,-21.18,3.34,0.26,0.4,0.53
25596,10.931,0.08697,17.29,16.49,-21.0,-21.65,6.96,0.34,0.57,0.65
25597,9.242,0.03271,17.38,16.96,-18.52,-18.89,0.96,0.09,0.03,0.37
25598,10.167,0.03364,16.89,16.06,-19.14,-19.89,2.96,0.53,0.71,0.75
25599,10.712,0.03364,15.57,14.77,-20.45,-21.17,2.94,0.63,0.43,0.72
25600,9.66,0.0331,16.79,16.3,-19.14,-19.58,1.15,0.05,0.07,0.44
25601,11.171,0.08479,16.69,15.74,-21.57,-22.35,6.75,0.31,0.96,0.78
25602,10.615,0.05701,16.8,16.0,-20.43,-21.15,1.91,0.66,0.4,0.72
25603,11.12,0.09662,16.6,15.78,-21.96,-22.61,6.16,0.26,0.7,0.65
25604,10.896,0.09643,17.33,16.45,-21.23,-21.93,5.86,0.51,0.73,0.7
25605,11.474,0.13216,16.94,15.93,-22.53,-23.24,5.58,0.36,0.99,0.71
25606,10.2,0.09693,17.26,16.88,-21.15,-21.48,0.81,0.29,0.23,0.33
25607,10.733,0.05755,16.76,15.94,-20.48,-21.25,1.64,0.78,0.33,0.77
25608,10.902,0.08798,17.46,16.48,-20.9,-21.69,5.54,0.34,0.99,0.79
25609,10.674,0.05728,16.38,15.65,-20.86,-21.51,2.42,0.47,0.34,0.65
25610,9.878,0.03225,17.03,16.4,-18.85,-19.43,1.82,0.23,0.58,0.58
25611,10.412,0.0296,15.59,14.87,-20.11,-20.77,2.27,0.41,0.24,0.66
25612,10.158,0.0557,17.19,16.63,-19.95,-20.45,0.9,0.23,0.09,0.5
25613,10.741,0.05637,16.33,15.51,-20.9,-21.6,5.38,0.4,0.89,0.7
25614,11.222,0.04436,14.86,13.99,-21.81,-22.58,4.21,0.15,0.72,0.77
25615,11.133,0.04296,14.87,14.09,-21.71,-22.4,2.92,0.1,0.34,0.69
25616,10.544,0.05744,17.22,16.45,-20.1,-20.77,1.52,0.52,0.3,0.67
25617,11.398,0.13171,17.36,16.27,-22.1,-22.89,7.85,0.33,1.0,0.79
25618,11.3,0.14912,17.82,16.82,-21.97,-22.64,5.61,0.21,0.62,0.67
25619,10.633,0.11733,17.46,16.86,-21.46,-21.93,1.09,0.25,0.14,0.47
25620,11.255,0.11736,17.31,16.41,-21.76,-22.47,3.4,0.56,0.53,0.71
25621,11.076,0.11081,17.58,16.6,-21.36,-22.11,7.98,0.36,0.96,0.75
25622,10.928,0.10629,16.67,16.01,-22.04,-22.59,1.78,0.54,0.51,0.55
25623,10.553,0.04148,16.2,15.43,-20.3,-20.99,2.77,0.33,0.44,0.69
25624,10.302,0.04913,15.82,15.36,-21.03,-21.45,1.06,0.32,0.25,0.42
25625,10.852,0.04864,16.08,15.23,-20.79,-21.54,3.55,0.52,0.57,0.75
25626,10.165,0.04274,17.18,16.63,-19.36,-19.85,4.29,0.73,0.54,0.49
25627,9.744,0.03809,17.48,16.89,-18.79,-19.34,1.47,0.52,0.18,0.55
25628,10.369,0.04219,16.62,15.89,-19.89,-20.55,5.15,0.44,0.88,0.66
25629,10.209,0.06248,15.96,15.59,-21.38,-21.75,1.69,0.07,0.6,0.37
25630,11.439,0.1531,17.76,16.63,-22.13,-22.9,7.89,0.17,0.85,0.77
25631,10.782,0.04261,15.96,15.2,-20.59,-21.28,2.6,0.56,0.38,0.69
25632,10.801,0.0428,16.18,15.35,-20.38,-21.14,2.29,0.7,0.35,0.76
25633,9.428,0.04278,16.97,16.67,-19.5,-19.8,1.34,0.15,0.09,0.3
25634,11.722,0.2085,18.3,16.95,-22.65,-23.44,4.05,0.05,0.32,0.79
25635,10.324,0.04309,17.32,16.44,-19.25,-20.06,1.75,0.71,0.3,0.81
25636,10.858,0.07605,17.48,16.57,-20.47,-21.24,4.45,0.15,0.43,0.77
25637,11.037,0.12569,17.57,16.82,-21.58,-22.17,1.85,0.63,0.19,0.59
25638,11.204,0.16107,17.34,16.52,-22.54,-23.07,3.61,0.34,0.94,0.53
25639,10.543,0.05954,16.7,16.07,-20.59,-21.14,1.66,0.3,0.71,0.55
25640,10.782,0.09326,17.28,16.49,-21.15,-21.78,5.32,0.09,0.82,0.63
25641,11.296,0.12794,17.94,16.89,-21.42,-22.21,5.91,0.33,0.52,0.79
25642,10.152,0.06174,16.6,16.13,-20.75,-21.18,0.52,0.12,0.0,0.43
25643,10.629,0.07361,17.44,16.58,-20.43,-21.15,3.7,0.46,0.93,0.72
25644,11.541,0.15386,17.55,16.48,-22.3,-23.09,8.0,0.19,0.71,0.79
25645,10.83,0.06642,16.93,16.06,-20.68,-21.45,1.84,0.66,0.12,0.77
25646,10.663,0.07656,17.69,16.8,-20.28,-21.02,3.94,0.37,0.4,0.74
25647,10.445,0.03935,16.49,15.7,-19.85,-20.58,5.49,0.03,0.58,0.73
25648,10.437,0.06685,17.43,16.74,-20.16,-20.75,3.87,0.42,0.42,0.59
25649,10.663,0.06712,17.5,16.66,-20.14,-20.87,3.36,0.3,0.54,0.73
25650,11.005,0.0667,17.19,16.3,-20.43,-21.2,2.98,0.41,0.55,0.77
25651,10.546,0.05806,17.05,16.26,-20.2,-20.89,6.29,0.42,0.85,0.69
25652,8.485,0.0101,17.02,16.56,-16.24,-16.63,1.51,0.35,0.62,0.39
25653,10.64,0.06724,17.07,16.37,-20.5,-21.13,4.81,0.1,0.18,0.63
25654,10.47,0.09734,17.28,16.74,-21.14,-21.61,1.04,0.42,0.15,0.47
25655,11.008,0.07337,16.36,15.71,-21.42,-22.0,5.04,0.22,0.54,0.58
25656,11.108,0.10431,17.61,16.67,-21.15,-21.89,4.33,0.15,0.36,0.74
25657,9.985,0.04251,16.99,16.45,-19.49,-20.0,1.03,0.0,0.05,0.51
25658,11.29,0.10515,16.32,15.58,-22.38,-22.97,3.89,0.22,0.3,0.59
25659,10.642,0.04603,16.22,15.49,-20.46,-21.15,1.38,0.58,0.17,0.69
25660,8.223,0.01371,17.12,16.83,-16.78,-17.03,1.26,0.34,0.07,0.25
25661,11.142,0.09808,17.29,16.39,-21.28,-22.01,5.55,0.12,0.47,0.73
25662,10.903,0.04624,15.3,14.59,-21.38,-22.04,1.77,0.54,0.24,0.66
25663,10.919,0.08299,16.47,15.84,-21.63,-22.16,1.3,0.43,0.17,0.53
25664,10.968,0.08326,16.97,16.19,-21.18,-21.83,3.65,0.66,0.44,0.65
25665,10.565,0.06541,17.17,16.46,-20.36,-20.97,6.89,0.29,0.52,0.61
25666,10.868,0.08278,17.1,16.32,-21.04,-21.68,3.03,0.35,0.51,0.64
25667,11.383,0.13872,17.44,16.4,-22.16,-22.87,7.98,0.26,0.79,0.71
25668,11.498,0.10851,16.58,15.57,-22.3,-23.09,4.82,0.19,0.64,0.79
25669,10.74,0.06379,16.81,16.05,-20.65,-21.32,2.63,0.25,0.59,0.67
25670,10.644,0.06323,17.14,16.27,-20.33,-21.08,3.34,0.36,0.5,0.75
25671,11.006,0.07511,16.51,15.8,-21.34,-21.97,2.04,0.38,0.36,0.63
25672,10.131,0.06759,17.12,16.73,-20.39,-20.77,0.97,0.28,0.81,0.38
25673,10.841,0.08327,16.78,16.12,-21.31,-21.88,3.16,0.14,0.3,0.57
25674,10.875,0.08173,17.23,16.33,-20.88,-21.63,3.46,0.73,0.88,0.75
25675,10.521,0.06276,17.33,16.53,-20.11,-20.83,1.33,0.5,0.05,0.72
25676,10.851,0.06237,16.32,15.62,-21.1,-21.71,6.12,0.0,0.39,0.61
25677,10.856,0.06591,16.15,15.57,-21.37,-21.89,1.91,0.22,0.83,0.52
25678,11.129,0.11347,17.64,16.64,-21.4,-22.14,1.98,0.24,0.55,0.74
25679,10.91,0.08785,17.34,16.55,-20.95,-21.64,1.33,0.7,0.16,0.69
25680,10.161,0.02996,16.24,15.48,-19.47,-20.19,2.53,0.78,0.19,0.72
25681,10.782,0.06597,16.98,16.15,-20.59,-21.37,3.81,0.5,0.56,0.78
25682,11.183,0.13446,17.96,16.91,-21.58,-22.36,3.95,0.12,0.79,0.78
25683,10.33,0.04757,16.94,16.22,-19.84,-20.49,2.83,0.6,0.52,0.65
25684,9.861,0.04109,17.28,16.75,-19.1,-19.59,0.71,0.85,0.13,0.49
25685,11.357,0.1463,17.94,16.86,-21.82,-22.6,2.73,0.45,0.52,0.78
25686,11.056,0.08064,17.35,16.37,-20.8,-21.61,2.61,0.76,0.4,0.81
25687,11.057,0.08887,16.72,15.93,-21.61,-22.26,1.23,0.22,0.17,0.65
25688,10.836,0.09046,17.73,16.8,-20.69,-21.44,4.3,0.28,0.55,0.75
25689,11.035,0.10168,17.77,16.84,-20.95,-21.71,2.5,0.77,0.36,0.76
25690,10.599,0.06277,17.36,16.46,-20.15,-20.92,4.09,0.41,0.54,0.77
25691,11.092,0.08977,17.14,16.18,-21.29,-22.06,4.62,0.49,1.0,0.77
25692,10.134,0.04793,17.47,16.7,-19.36,-20.04,2.37,0.38,0.56,0.68
25693,10.674,0.09007,17.07,16.52,-21.23,-21.7,1.38,0.49,0.99,0.47
25694,10.373,0.03361,16.32,15.5,-19.7,-20.44,1.76,0.72,0.35,0.74
25695,10.958,0.09833,17.53,16.58,-21.13,-21.87,4.59,0.28,0.95,0.74
25696,10.315,0.05556,17.48,16.76,-19.71,-20.32,4.56,0.29,0.78,0.61
25697,10.159,0.05659,16.54,16.05,-20.63,-21.08,0.78,0.48,0.18,0.45
25698,9.694,0.03321,17.11,16.58,-18.83,-19.31,1.14,0.72,0.0,0.48
25699,10.598,0.05557,17.22,16.34,-19.99,-20.76,0.91,0.78,0.04,0.77
25700,10.836,0.05637,16.5,15.62,-20.75,-21.5,2.89,0.56,0.46,0.75
25701,10.562,0.05538,16.68,15.99,-20.5,-21.1,2.72,0.38,0.82,0.6
25702,9.128,0.0326,16.81,16.52,-19.08,-19.3,0.76,0.44,0.0,0.22
25703,9.154,0.01942,17.35,16.8,-17.4,-17.91,1.62,0.74,0.16,0.51
25704,9.418,0.03644,16.87,16.52,-19.27,-19.58,0.98,0.08,0.31,0.31
25705,10.376,0.04659,16.22,15.65,-20.51,-21.03,5.71,0.16,0.93,0.52
25706,10.471,0.06149,17.32,16.55,-20.11,-20.77,1.96,0.41,0.23,0.66
25707,11.331,0.12762,17.3,16.32,-22.04,-22.75,4.64,0.19,0.65,0.71
25708,10.733,0.12794,17.43,16.74,-21.77,-22.29,1.73,0.44,0.6,0.52
25709,11.181,0.10181,16.93,16.03,-21.78,-22.48,2.45,0.33,0.24,0.7
25710,11.047,0.05521,15.87,15.03,-21.32,-22.06,5.28,0.19,0.53,0.74
25711,10.256,0.0553,17.65,16.8,-19.55,-20.3,2.83,0.68,0.62,0.75
25712,10.945,0.09783,17.55,16.63,-21.06,-21.78,5.51,0.2,0.76,0.72
25713,10.888,0.05825,16.26,15.36,-21.02,-21.82,2.38,0.42,0.61,0.8
25714,10.16,0.0469,17.5,16.68,-19.26,-19.99,2.77,0.53,0.96,0.73
25715,11.293,0.14703,17.79,16.82,-21.88,-22.58,2.91,0.44,0.44,0.7
25716,10.671,0.0837,17.33,16.62,-20.75,-21.39,1.62,0.23,0.34,0.64
25717,11.246,0.12146,17.54,16.59,-21.64,-22.34,8.0,0.38,0.65,0.7
25718,10.526,0.08439,16.98,16.43,-21.1,-21.6,1.24,0.1,0.17,0.5
25719,10.878,0.05818,16.12,15.33,-21.12,-21.83,3.06,0.5,0.28,0.71
25720,10.306,0.05043,17.52,16.7,-19.41,-20.14,5.77,0.29,0.77,0.73
25721,9.477,0.0256,16.24,15.77,-19.07,-19.51,1.28,0.48,0.06,0.44
25722,10.704,0.03265,15.58,14.77,-20.32,-21.07,4.66,0.53,0.53,0.75
25723,10.928,0.08291,,,,,1.57,0.41,,
25724,9.26,0.02365,17.18,16.67,-17.98,-18.45,2.22,0.77,0.36,0.47
25725,11.055,0.08615,17.23,16.25,-21.08,-21.87,5.77,0.25,0.91,0.79
25726,10.901,0.10961,17.78,16.79,-21.13,-21.92,6.99,0.18,0.87,0.79
25727,9.257,0.0186,15.72,15.39,-18.89,-19.2,1.04,0.29,0.04,0.31
25728,11.093,0.11888,17.31,16.66,-21.67,-22.18,7.58,0.48,0.53,0.51
25729,11.237,0.13186,17.73,16.72,-21.7,-22.43,5.15,0.13,0.66,0.73
25730,10.992,0.03275,14.93,14.11,-20.98,-21.75,3.23,0.1,0.37,0.77
25731,10.134,0.03015,16.04,15.41,-19.68,-20.26,0.82,0.69,0.05,0.58
25732,9.343,0.03033,17.33,16.83,-18.39,-18.87,1.03,0.65,0.0,0.48
25733,11.524,0.14192,17.14,16.07,-22.52,-23.26,6.01,0.1,0.93,0.74
25734,11.155,0.14061,17.84,16.9,-21.72,-22.4,2.35,0.42,0.21,0.68
25735,10.349,0.02971,15.34,14.76,-20.33,-20.88,1.34,0.22,0.12,0.55
25736,10.426,0.06074,16.98,16.29,-20.36,-21.0,0.79,0.79,0.04,0.64
25737,9.606,0.05827,16.93,16.69,-20.24,-20.46,1.32,0.32,0.8,0.22
25738,11.007,0.10159,17.13,16.5,-21.43,-21.98,6.67,0.5,0.58,0.55
25739,10.513,0.03171,15.94,15.13,-19.89,-20.66,1.47,0.71,0.24,0.77
25740,10.622,0.07208,17.47,16.58,-20.34,-21.1,3.2,0.68,1.0,0.76
25741,10.571,0.07203,16.89,16.26,-20.84,-21.4,0.5,0.49,0.0,0.56
25742,9.436,0.02991,16.76,16.3,-18.91,-19.34,1.2,0.38,0.26,0.43
25743,9.014,0.02989,16.98,16.73,-18.67,-18.92,1.38,0.13,0.13,0.25
25744,10.227,0.05872,,,,,0.95,0.22,,
25745,11.019,0.07741,17.32,16.27,-20.68,-21.59,5.06,0.61,1.0,0.91
25746,10.516,0.03125,15.88,15.07,-19.91,-20.67,3.81,0.35,0.72,0.76
25747,11.245,0.11117,17.29,16.31,-21.66,-22.41,2.33,0.64,0.39,0.75
25748,11.15,0.13067,17.88,16.84,-21.5,-22.29,2.28,0.58,0.47,0.79
25749,10.61,0.03123,15.28,14.48,-20.52,-21.25,3.19,0.27,0.47,0.73
25750,9.644,0.02795,15.64,15.24,-19.86,-20.23,1.28,0.37,0.06,0.37
25751,10.647,0.05847,16.97,16.18,-20.3,-21.0,3.9,0.78,0.53,0.7
25752,10.916,0.0584,16.08,15.26,-21.22,-21.93,4.31,0.14,0.56,0.71
25753,10.028,0.05935,17.29,16.75,-19.95,-20.48,0.99,0.74,0.12,0.53
25754,10.485,0.05966,16.45,15.85,-20.82,-21.37,1.75,0.01,0.47,0.55
25755,10.539,0.04938,16.36,15.72,-20.51,-21.08,3.72,0.11,0.45,0.57
25756,11.44,0.14993,17.63,16.53,-22.2,-22.97,2.11,0.47,0.67,0.77
25757,11.351,0.11009,16.52,15.67,-22.34,-23.02,1.98,0.25,0.2,0.68
25758,11.147,0.10954,17.46,16.5,-21.45,-22.2,6.82,0.38,0.77,0.75
25759,10.766,0.04953,15.25,14.7,-21.62,-22.12,1.1,0.11,0.14,0.5
25760,10.88,0.03279,14.65,13.87,-21.3,-22.0,5.69,0.35,0.81,0.7
25761,11.204,0.13012,17.77,16.71,-21.67,-22.42,5.58,0.28,0.87,0.75
25762,10.21,0.03081,15.26,14.79,-20.52,-20.94,1.57,0.05,0.78,0.42
25763,11.414,0.1602,17.99,16.78,-22.09,-22.9,4.67,0.14,0.9,0.81
25764,9.459,0.03638,16.95,16.47,-19.17,-19.62,0.71,0.24,0.75,0.45
25765,10.991,0.0798,16.28,15.45,-21.78,-22.48,5.15,0.07,0.96,0.7
25766,10.764,0.08087,17.33,16.52,-20.77,-21.45,1.64,0.35,0.1,0.68
25767,10.726,0.07961,17.15,16.41,-20.87,-21.52,2.25,0.42,0.25,0.65
25768,11.18,0.10966,17.35,16.36,-21.59,-22.34,4.16,0.22,0.66,0.75
25769,10.846,0.05254,16.17,15.35,-20.86,-21.59,2.64,0.35,0.41,0.73
25770,10.449,0.06161,17.5,16.64,-19.95,-20.68,3.5,0.65,0.64,0.73
25771,10.574,0.09684,17.38,16.82,-21.06,-21.55,2.19,0.23,0.21,0.49
25772,11.328,0.14822,17.83,16.75,-21.98,-22.71,7.71,0.42,0.96,0.73
25773,9.514,0.03957,16.33,16.02,-19.97,-20.26,2.37,0.32,0.74,0.29
25774,9.953,0.03287,16.82,16.09,-19.12,-19.78,3.46,0.65,0.46,0.66
25775,10.742,0.06934,17.1,16.31,-20.61,-21.3,2.85,0.64,0.55,0.69
25776,10.83,0.11853,17.4,16.7,-21.55,-22.15,3.51,0.6,0.38,0.6
25777,10.845,0.0595,16.4,15.53,-20.94,-21.7,4.22,0.43,0.96,0.76
25778,9.379,0.03493,17.0,16.58,-19.02,-19.41,1.18,0.83,0.13,0.39
25779,10.415,0.06342,16.95,16.34,-20.48,-21.04,0.88,0.54,0.05,0.56
25780,11.46,0.14042,17.72,16.72,-21.87,-22.59,7.11,0.35,0.38,0.72
25781,10.713,0.06211,17.2,16.28,-20.27,-21.06,2.41,0.34,0.58,0.79
25782,10.593,0.06083,17.2,16.34,-20.2,-20.95,3.53,0.28,0.6,0.75
25783,11.114,0.06111,16.23,15.34,-21.19,-21.97,4.38,0.08,0.34,0.78
25784,10.705,0.06496,17.15,16.25,-20.41,-21.19,3.16,0.41,0.56,0.78
25785,10.644,0.06133,17.07,16.22,-20.37,-21.09,3.37,0.36,0.57,0.72
25786,11.483,0.06209,15.19,14.24,-22.27,-23.09,4.46,0.08,0.54,0.82
25787,10.17,0.05884,17.62,16.86,-19.68,-20.34,1.0,0.8,0.07,0.66
25788,10.643,0.06168,17.1,16.26,-20.33,-21.06,7.72,0.07,0.95,0.73
25789,10.542,0.06198,17.59,16.69,-19.87,-20.65,2.29,0.31,0.19,0.78
25790,10.442,0.07185,17.09,16.59,-20.65,-21.08,1.12,0.22,0.27,0.43
25791,10.938,0.0635,16.55,15.62,-20.96,-21.77,3.56,0.45,1.0,0.81
25792,10.78,0.06252,16.58,15.72,-20.89,-21.63,2.99,0.57,0.89,0.74
25793,9.697,0.03277,16.35,15.83,-19.55,-20.02,2.03,0.32,0.48,0.47
25794,11.501,0.15667,17.81,16.64,-22.2,-22.99,4.04,0.23,0.61,0.79
25795,11.669,0.20449,18.24,16.95,-22.59,-23.38,4.17,0.35,0.61,0.79
25796,9.475,0.0339,16.37,16.03,-19.59,-19.93,1.21,0.57,0.22,0.34
25797,10.634,0.06353,16.91,16.14,-20.58,-21.24,1.95,0.16,0.2,0.66
25798,11.176,0.06338,15.31,14.54,-22.18,-22.85,2.96,0.14,0.21,0.67
25799,10.48,0.08323,17.75,16.92,-20.43,-21.11,2.26,0.54,0.5,0.68
