,logM,z,gmag,rmag,gMag,rMag,n,e,B_T_r,g-r
186411,10.975,0.09765,16.92,16.24,-21.59,-22.14,3.33,0.16,0.62,0.55
186412,10.94,0.07699,17.03,16.11,-20.95,-21.72,7.24,0.5,0.73,0.77
186413,11.361,0.17498,17.91,16.94,-22.27,-22.91,4.21,0.52,0.58,0.64
186414,10.75,0.06533,16.66,15.96,-20.85,-21.47,2.12,0.55,0.42,0.62
186415,10.405,0.03915,16.67,15.87,-19.64,-20.39,1.57,0.71,0.26,0.75
186416,11.011,0.10039,16.67,16.04,-21.88,-22.39,0.89,0.2,0.04,0.51
186417,10.612,0.03797,15.73,14.93,-20.52,-21.25,4.0,0.32,0.56,0.73
186418,11.291,0.09999,16.74,15.73,-21.93,-22.72,5.25,0.03,1.0,0.79
186419,10.998,0.09961,17.38,16.48,-21.24,-21.95,5.22,0.31,0.73,0.71
186420,11.013,0.07758,16.5,15.71,-21.44,-22.11,3.08,0.17,0.54,0.67
186421,10.506,0.03814,15.56,14.98,-20.69,-21.23,2.24,0.23,0.27,0.54
186422,10.487,0.05103,16.94,16.13,-20.02,-20.73,4.93,0.1,0.76,0.71
186423,10.994,0.07731,16.57,15.85,-21.37,-21.97,4.92,0.29,0.59,0.6
186424,10.934,0.12108,17.65,16.83,-21.44,-22.07,0.81,0.68,0.08,0.63
186425,10.659,0.07666,17.42,16.6,-20.51,-21.2,1.26,0.45,0.04,0.69
186426,10.567,0.03641,16.12,15.3,-20.05,-20.79,3.66,0.63,0.4,0.74
186427,9.736,0.03662,16.63,16.2,-19.51,-19.89,0.9,0.14,0.93,0.38
186428,11.037,0.09019,17.42,16.44,-20.96,-21.78,2.13,0.62,0.42,0.82
186429,9.497,0.0399,16.75,16.38,-19.54,-19.91,1.05,0.7,0.3,0.37
186430,9.09,0.03857,17.25,16.97,-18.97,-19.23,0.88,0.31,0.0,0.26
186431,11.319,0.09006,16.37,15.53,-21.98,-22.66,2.78,0.4,0.39,0.68
186432,10.669,0.09508,17.62,16.91,-20.79,-21.41,1.45,0.16,0.23,0.62
186433,11.476,0.15826,17.33,16.37,-22.56,-23.21,2.31,0.51,0.52,0.65
186434,10.982,0.09488,17.42,16.51,-21.08,-21.81,1.93,0.78,0.38,0.73
186435,10.72,0.10012,17.12,16.49,-21.41,-21.93,1.21,0.1,0.72,0.52
186436,11.266,0.14029,17.75,16.69,-21.87,-22.61,1.54,0.22,0.51,0.74
186437,11.203,0.08963,16.66,15.72,-21.71,-22.46,5.23,0.14,0.87,0.75
